,city_name,Latitude,Longitude,Wind Speed,Humidity,Temperature,Cloudiness,Country Name,Date
399,vao,-22.67,167.48,16.22,76,72.91,0,NC,1603935445
400,kimbe,-5.55,150.14,2.57,59,89.1,100,PG,1603935445
401,chingirlau,51.09,54.08,4.92,88,32.95,28,KZ,1603935445
402,klatovy,49.4,13.3,3.0,81,50.0,100,CZ,1603935445
403,rosamorada,22.12,-105.21,2.62,83,74.73,0,MX,1603935445
404,uige,-7.61,15.06,2.26,97,67.89,100,AO,1603935445
405,ozernovskiy,51.5,156.52,2.19,74,44.22,78,RU,1603935446
406,kabinda,-6.13,24.48,4.25,97,68.22,100,CD,1603935446
407,purgstall,48.06,15.13,2.26,2,44.01,100,AT,1603935446
408,inuvik,68.35,-133.72,18.34,73,19.4,51,CA,1603935446
409,natal,-5.79,-35.21,9.44,78,77.41,59,BR,1603935157
410,aguimes,27.91,-15.45,12.75,64,70.0,75,ES,1603935446
411,krasnoselkup,65.7,82.47,9.82,92,-1.03,15,RU,1603935446
412,eyl,7.98,49.82,0.63,77,77.36,75,SO,1603935446
413,kirensk,57.79,108.11,3.13,96,26.96,100,RU,1603935446
414,salta,-24.79,-65.41,6.93,82,64.4,75,AR,1603935447
415,birao,10.28,22.79,3.96,41,72.75,0,CF,1603935447
416,ambulu,-8.35,113.61,3.62,65,85.96,0,ID,1603935447
417,lavrentiya,65.58,-171.0,3.91,87,27.07,100,RU,1603935447
418,holovyne,50.47,28.83,4.5,85,45.21,24,UA,1603935447
419,ust-nera,64.57,143.2,1.48,80,10.44,100,RU,1603935448
420,esperance,-33.87,121.9,12.59,52,63.12,0,AU,1603935448
421,robertsport,6.75,-11.37,9.37,84,79.57,100,LR,1603935448
422,anaconda,46.13,-112.94,5.84,87,36.0,74,US,1603935448
423,aban,56.67,96.06,14.0,85,33.46,12,RU,1603935448
424,naze,28.37,129.48,7.9,70,72.79,30,JP,1603935448
425,coihaique,-45.58,-72.07,6.93,84,37.67,36,CL,1603935448
426,imeni babushkina,59.76,43.13,5.12,95,40.95,100,RU,1603935448
427,hofn,64.25,-15.21,25.95,82,44.33,98,IS,1603935449
428,sitka,57.05,-135.33,2.04,76,42.12,2,US,1603935449
429,candido de abreu,-24.57,-51.33,1.34,51,65.43,0,BR,1603935449
430,mogadishu,2.04,45.34,6.49,81,78.87,1,SO,1603935449
431,iberia,29.95,-91.75,1.99,94,69.01,100,US,1603935449
432,fairbanks,64.84,-147.72,1.77,88,19.99,0,US,1603935187
433,slave lake,55.28,-114.77,4.14,94,32.54,0,CA,1603935220
434,tallahassee,30.44,-84.28,8.39,93,75.99,100,US,1603935196
435,chapais,49.78,-74.85,9.48,99,28.38,95,CA,1603935164
436,presidencia roque saenz pena,-26.79,-60.44,12.24,58,74.21,78,AR,1603935450
437,cockburn town,21.46,-71.14,21.52,77,82.67,1,TC,1603935409
438,bangkal,6.07,121.07,7.07,68,85.6,11,PH,1603935450
439,gladstone,-23.85,151.25,8.08,30,85.64,0,AU,1603935450
440,xining,36.62,101.77,2.26,57,40.5,0,CN,1603935450
441,capinzal,-27.34,-51.61,2.08,71,59.22,0,BR,1603935450
442,mount isa,-20.73,139.5,9.26,13,84.67,0,AU,1603935203
443,porec,45.23,13.59,3.0,74,50.0,95,HR,1603935450
444,high level,58.52,-117.14,2.75,92,28.4,90,CA,1603935451
445,hami,42.8,93.45,8.37,43,48.72,95,CN,1603935451
446,timizart,36.8,4.27,3.18,79,55.99,93,DZ,1603935451
447,santa fe,-31.63,-60.7,6.4,82,53.01,0,AR,1603935451
448,sechura,-5.56,-80.82,13.91,77,66.47,57,PE,1603935451
449,unity,52.45,-109.17,6.11,94,29.89,1,CA,1603935451
450,padang,-0.95,100.35,1.72,58,84.04,95,ID,1603935451
451,shache,38.42,77.24,1.01,50,45.07,100,CN,1603935451
452,konstantinovskiy,57.83,39.59,7.14,94,39.16,25,RU,1603935452
453,brandon,27.94,-82.29,1.01,81,82.99,20,US,1603935209
454,kalulushi,-12.84,28.09,4.61,63,63.61,92,ZM,1603935452
455,nantucket,41.28,-70.1,11.99,91,53.01,100,US,1603935310
456,sambava,-14.27,50.17,10.42,84,73.87,22,MG,1603935452
457,hailar,49.2,119.7,7.43,87,31.71,0,CN,1603935452
458,porto novo,6.5,2.6,5.68,89,76.93,87,BJ,1603935452
459,poum,-20.23,164.02,19.91,74,77.43,3,NC,1603935452
460,druskininkai,54.02,23.97,4.59,95,49.66,86,LT,1603935453
461,kushiro,42.98,144.37,17.11,82,54.19,90,JP,1603935453
462,copiapo,-27.37,-70.33,1.16,73,55.67,0,CL,1603935453
463,frogner,60.02,11.1,1.01,94,44.01,99,NO,1603935453
464,hosakote,14.28,77.17,4.0,71,72.45,1,IN,1603935453
465,oneida,43.2,-75.47,4.79,93,39.99,1,US,1603935453
